"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NSR","Neustar, Inc.","23.15","$1.26B","2005","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/nsr",
"NVRO","Nevro Corp.","67.27","$1.91B","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nvro",
"HYB","New America High Income Fund, Inc. (The)","8.76","$203.69M","1988","n/a","n/a","http://www.nasdaq.com/symbol/hyb",
"GF","New Germany Fund, Inc. (The)","13.71","$219.74M","1990","n/a","n/a","http://www.nasdaq.com/symbol/gf",
"NWHM","New Home Company Inc. (The)","9.97","$206.47M","2014","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/nwhm",
"IRL","New Ireland Fund, Inc. (The)","13.505","$68M","1990","n/a","n/a","http://www.nasdaq.com/symbol/irl",
"NEWM","New Media Investment Group Inc.","16.62","$745.86M","2014","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/newm",
"NMFC","New Mountain Finance Corporation","12.41","$792.76M","2011","n/a","n/a","http://www.nasdaq.com/symbol/nmfc",
"EDU","New Oriental Education & Technology Group, Inc.","41.2","$6.5B","2006","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/edu",
"NEWR","New Relic, Inc.","27.92","$1.38B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/newr",
"NRZ","New Residential Investment Corp.","13.5","$3.11B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nrz",
"SNR","New Senior Investment Group Inc.","10.22","$839.21M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/snr",
"NWY","New York & Company, Inc.","1.68","$108.51M","2004","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/nwy",
"NYCB","New York Community Bancorp, Inc.","15.51","$7.55B","n/a","Finance","Banks","http://www.nasdaq.com/symbol/nycb",
"NYCB^U","New York Community Bancorp, Inc.","50.15","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nycb^u",
"NYRT","New York REIT, Inc.","9.79","$1.62B","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nyrt",
"NYT","New York Times Company (The)","11.95","$1.92B","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/nyt",
"NCT","Newcastle Investment Corporation","4.41","$293.95M","2002","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nct",
"NCT^B","Newcastle Investment Corporation","25.2399","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nct^b",
"NCT^C","Newcastle Investment Corporation","24.55","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nct^c",
"NCT^D","Newcastle Investment Corporation","24.0001","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nct^d",
"NWL","Newell Brands Inc.","47.88","$12.84B","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/nwl",
"NFX","Newfield Exploration Company","41.16","$8.17B","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nfx",
"NJR","NewJersey Resources Corporation","34.7","$2.99B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/njr",
"NEU","NewMarket Corporation","404.11","$4.79B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/neu",
"NEM","Newmont Mining Corporation","32.38","$17.18B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nem",
"NR","Newpark Resources, Inc.","4.56","$383.55M","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nr",
"NHF","NexPoint Credit Stategies Fund","20.41","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nhf",
"NXRT","NexPoint Residential Trust, Inc.","14.16","$301.52M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nxrt",
"NEP","NextEra Energy Partners, LP","27.66","$1.16B","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/nep",
"NEE","NextEra Energy, Inc.","119.1","$54.96B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/nee",
"NEE^C","NextEra Energy, Inc.","26.31","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^c",
"NEE^G","NextEra Energy, Inc.","26.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^g",
"NEE^H","NextEra Energy, Inc.","26","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^h",
"NEE^I","NextEra Energy, Inc.","25.59","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^i",
"NEE^J","NextEra Energy, Inc.","25.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^j",
"NEE^P","NextEra Energy, Inc.","61.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^p",
"NEE^Q","NextEra Energy, Inc.","60.438","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^q",
"NGL","NGL ENERGY PARTNERS LP","14.09","$1.51B","2011","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ngl",
"NMK^B","Niagara Mohawk Holdings, Inc.","94.95","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/nmk^b",
"NMK^C","Niagara Mohawk Holdings, Inc.","97.98","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/nmk^c",
"NLSN","Nielsen N.V.","52.95","$19.12B","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/nlsn",
"NKE","Nike, Inc.","55.99","$94.33B","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/nke",
"NMBL","Nimble Storage, Inc.","8.56","$719.9M","2013","Technology","Electronic Components","http://www.nasdaq.com/symbol/nmbl",
"NTT","Nippon Telegraph and Telephone Corporation","44.97","$94.26B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ntt",
"NKA","Niska Gas Storage Partners LLC","4.12","$156.51M","2010","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/nka",
"NI","NiSource, Inc","23.95","$7.7B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ni",
"NL","NL Industries, Inc.","3.26","$158.74M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/nl",
"NOAH","Noah Holdings Ltd.","24.59","$1.38B","2010","Finance","Investment Managers","http://www.nasdaq.com/symbol/noah",
"NE","Noble Corporation","8.81","$2.14B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ne",
"NBL","Noble Energy Inc.","36.28","$15.59B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbl",
"NOK","Nokia Corporation","5.58","$31.87B","1994","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/nok",
