3IN.L
888.L
AA.L
AAL.L
ABF.L
ACA.L
ACID.L
ACWD.L
ADM.L
ADN.L
AFID.L
AGK.L
AGR.L
AGRO.L
AHT.L
AKRN.L
ALD.L
ALM.L
AMFW.L
ANTO.L
AO.L
APF.L
ARM.L
ASCL.L
ASHM.L
ASL.L
ATAD.L
ATK.L
ATST.L
AUCO.L
AUDP.L
AUKT.L
AUTO.L
AVGR.L
AV.L
AVM.L
AVV.L
AXB.L
AZN.L
BAB.L
BAG.L
BA.L
BARC.L
BATS.L
BBA.L
BBOX.L
BBY.L
BDEV.L
BEE.L
BEZ.L
BGEO.L
BHGG.L
BHGU.L
BHME.L
BHMG.L
BHMU.L
BIST.L
BKG.L
BKIR.L
BKM.L
BLBD.L
BLND.L
BLT.L
BME.L
BNKR.L
BNZL.L
BOK.L
BOY.L
BPKD.L
BP.L
BQAD.L
BRBY.L
BRSN.L
BRW.L
BRWM.L
BTEM.L
BTG.L
BT.L
BVIC.L
BVS.L
BWNG.L
BWY.L
BYG.L
CADP.L
CAL.L
CAPC.L
CARD.L
CBG.L
CBKD.L
CBQS.L
CCC.L
CCH.L
CCL.L
CDI.L
CEY.L
CFHS.L
CHE.L
CHFP.L
CHG.L
CHOO.L
CHZN.L
CINE.L
CIR.L
CIU.L
CKN.L
CLDN.L
CLI.L
CLLN.L
CMCX.L
CNA.L
CNCT.L
CNE.L
CNSD.L
COB.L
CPG.L
CPI.L
CPR.L
CRDA.L
CRH.L
CRST.L
CRUD.L
CSP.L
CTY.L
CWD.L
CWK.L
CYBG.L
DCC.L
DCG.L
DC.L
DEB.L
DEPS.L
DFS.L
DGE.L
DIA.L
DIG.L
DJAN.L
DLAR.L
DLG.L
DLN.L
DMGT.L
DNLM.L
DOM.L
DPH.L
DPLM.L
DRTY.L
DRX.L
DTY.L
DVO.L
EAST.L
ECM.L
ECWO.L
EDIN.L
EFGD.L
EFM.L
ELM.L
ELSA.L
ELTA.L
EMDD.L
EMG.L
ENQ.L
ERM.L
ESNT.L
ESUR.L
ETI.L
ETLN.L
ETO.L
EUE.L
EURP.L
EUT.L
EVR.L
EXI.L
EXO.L
EXPN.L
EZJ.L
FCCN.L
FCPT.L
FCSS.L
FDL.L
FDSA.L
FEES.L
FENR.L
FETD.L
FEV.L
FGP.L
FGT.L
FIVE.L
FOXT.L
FRCL.L
FRES.L
FSJ.L
FSV.L
FXC.L
FXPO.L
GAID.L
GAZ.L
GBPP.L
GBS.L
GBSS.L
GCLA.L
GCP.L
GEMD.L
GENL.L
GFRD.L
GFS.L
GFTU.L
GKN.L
GLEN.L
GLPR.L
GLTD.L
GLTR.L
GMD.L
GMS.L
GNC.L
GNK.L
GNS.L
GOG.L
GPOR.L
GRG.L
GRI.L
GRTB.L
GSK.L
GSS.L
HALS.L
HAS.L
HEAD.L
HFD.L
HGG.L
HGT.L
HHPD.L
HICL.L
HIK.L
HILS.L
HLCL.L
HL.L
HLMA.L
HMSF.L
HMSG.L
HMSO.L
HOC.L
HOME.L
HRI.L
HSBA.L
HSBK.L
HSD.L
HSS.L
HSTG.L
HSTN.L
HSV.L
HSX.L
HTG.L
HVPE.L
HWDN.L
HYDR.L
HYUD.L
IAG.L
IAP.L
IAUS.L
IBST.L
IBZL.L
ICP.L
IDBT.L
IDEM.L
IDTM.L
IDTP.L
IDUS.L
IEEM.L
IEGM.L
IEM.L
