ADN.L
ADM.L
AGK.L
AAL.L
ANTO.L
ARM.L
ABF.L
AZN.L
AV.L
BAB.L
BA.L
BARC.L
BG.L
BLT.L
BP.L
BLND.L
BT-A.L
BNZL.L
BRBY.L
CPI.L
CUK.L
CNA.L
CCH.L
CPG.L
CRH.L
CRDA.L
DGE.L
EVR.L
EXPN.L
FRES.L
GFS.L
GKN.L
GSK.L
GLEN.L
HMSO.L
HL.L
HSBA.L
IMI.L
IMT.L
IHG.L
IAG.L
ITRK.L
ITV.L
SBRY.L
JMAT.L
KGF.L
LAND.L
LGEN.L
LLOY.L
MKS.L
MGGT.L
MRO.L
MRW.L
NG.L
NXT.L
OML.L
PFC.L
PRU.L
RRS.L
RB.L
REL.L
REX.L
RIO.L
RR.L
RBS.L
RDSA.L
RSA.L
SAB.L
SGE.L
SDR.L
SRP.L
SVT.L
SNN.L
SMIN.L
SSE.L
STAN.L
SL.L
TATE.L
TSCO.L
TLW.L
ULVR.L
UU.L
VED.L
VOD.L
WEIR.L
WTB.L
WOS.L
WG.L
WPP.L
